"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit"
"IC",60,64.1589845869052,"Number of tetramer+ cells","CD4","number"
"SOL",8,3421.76450829958,"Number of tetramer+ cells","CD4","number"
"SOL",14,497.108571012222,"Number of tetramer+ cells","CD4","number"
"SOL",28,518.777779465393,"Number of tetramer+ cells","CD4","number"
"SOL",60,182.659982500735,"Number of tetramer+ cells","CD4","number"
"TM",8,10808.7379409567,"Number of tetramer+ cells","CD4","number"
"TM",14,1289.81598203881,"Number of tetramer+ cells","CD4","number"
"TM",28,1154.83636447211,"Number of tetramer+ cells","CD4","number"
"TM",60,160.276540186915,"Number of tetramer+ cells","CD4","number"
"TMd21",8,4684.90095590491,"Number of tetramer+ cells","CD4","number"
"TMd21",14,905.343646011769,"Number of tetramer+ cells","CD4","number"
"TMd21",28,1097.32010579839,"Number of tetramer+ cells","CD4","number"
"TMd21",60,197.951237933006,"Number of tetramer+ cells","CD4","number"
"IC",8,1.765,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"IC",14,0,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"IC",28,0,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"IC",60,0,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"SOL",8,30.6,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"SOL",14,11.39,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"SOL",28,10.275,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"SOL",60,1.73,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"TM",8,53.95,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"TM",14,26.1,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"TM",28,14.65,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"TM",60,4.18,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
"TMd21",8,43.35,"PD-1+ CXCR5+ BCL6+ TFH (% tetramer)","CD4","percentage"
