"Vaccine","Day","Value","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Value","normalised"
"TM",14,32829.3547616437,"Cells/µL","CD4","number",8,48470.6907577419,0.677303216612404
"TM",28,57287.7528051856,"Cells/µL","CD4","number",8,48470.6907577419,1.18190502156265
"TM",60,18691.7640925745,"Cells/µL","CD4","number",8,48470.6907577419,0.385630239643098
"TMd21",8,33556.4565734174,"Cells/µL","CD4","number",8,33556.4565734174,1
"TMd21",14,29815.5436514795,"Cells/µL","CD4","number",8,33556.4565734174,0.888518833514102
"TMd21",28,59696.0806685673,"Cells/µL","CD4","number",8,33556.4565734174,1.77897450340025
"TMd21",60,21934.7883456631,"Cells/µL","CD4","number",8,33556.4565734174,0.653668193412271
"IC",8,6.385,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,6.385,1
"IC",14,5.57583333333333,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,6.385,0.873270686504829
"IC",28,12.295,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,6.385,1.92560689115114
"IC",60,7.17,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,6.385,1.1229444009397
"SOL",8,4.235,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.235,1
"SOL",14,7.94916666666667,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.235,1.87701692247147
"SOL",28,11.3016666666667,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.235,2.66863439590712
"SOL",60,12.3316666666667,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,4.235,2.91184573002755
"TM",8,3.01833333333333,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.01833333333333,1
"TM",14,5.355,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.01833333333333,1.77415792379901
"TM",28,9.52666666666667,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.01833333333333,3.15626725565986
"TM",60,8.75333333333333,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.01833333333333,2.90005521811154
"TMd21",8,3.70833333333333,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.70833333333333,1
"TMd21",14,3.54583333333333,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.70833333333333,0.956179775280899
